,attendance,away_team_errors,away_team_hits,home_team_errors,home_team_hits,temperature,wind_speed,total_runs,game_hours_dec,home_team_win,home_team_loss,Capacity,Home_Team_WP,Away_Team_WP,Distance_to_CF,Packed_Ratio,WinPerc_Diff,field_type_n,game_type_n,sky_Cloudy,sky_Drizzle,sky_In Dome,sky_Night,sky_Overcast,sky_Rain,sky_Sunny,sky_Unknown,DofWeek_Friday,DofWeek_Monday,DofWeek_Saturday,DofWeek_Sunday,DofWeek_Thursday,DofWeek_Tuesday,DofWeek_Wednesday
74,40471.0,0,6,1,11,51.0,23.0,13,3.533333333333333,1,0,41649,0.6579,0.5897,400.0,0.971716007587217,0.06820000000000004,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
75,28049.0,0,4,0,13,60.0,16.0,9,2.966666666666667,1,0,40615,0.4935,0.3289,400.0,0.6906069186261233,0.16459999999999997,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
76,29862.0,1,9,0,8,62.0,1.0,7,2.533333333333333,1,0,45971,0.6053,0.4416,410.0,0.6495834330338692,0.16369999999999996,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
77,15230.0,1,4,0,9,66.0,3.0,7,3.083333333333333,1,0,47715,0.5065,0.4211,401.0,0.31918683852038143,0.08539999999999998,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,14604.0,1,11,0,5,72.0,0.0,9,3.1166666666666667,0,1,31042,0.4211,0.4416,404.0,0.47045937761742157,-0.020500000000000018,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
79,34579.0,0,13,0,10,76.0,2.0,13,3.6833333333333336,0,1,47715,0.5065,0.4103,401.0,0.7246987320549093,0.09619999999999995,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
80,22230.0,0,4,1,7,68.0,6.0,5,2.6166666666666667,1,0,43651,0.4304,0.3718,401.0,0.5092666834665872,0.058599999999999985,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
81,34264.0,0,9,0,6,62.0,1.0,8,2.75,0,1,47309,0.4868,0.4935,408.0,0.7242596546111734,-0.006699999999999984,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
82,35291.0,0,3,2,7,67.0,0.0,1,2.9333333333333336,1,0,41900,0.4474,0.4231,400.0,0.8422673031026253,0.024300000000000044,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
83,46716.0,4,9,1,11,67.0,7.0,12,3.0166666666666666,1,0,56000,0.5443,0.5263,395.0,0.8342142857142857,0.018000000000000016,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,33132.0,2,7,1,7,62.0,21.0,6,2.75,1,0,37903,0.5263,0.3377,410.0,0.8741260586233279,0.1886,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
85,38712.0,0,6,0,12,56.0,8.0,7,2.8,1,0,46897,0.4805,0.5263,415.0,0.8254685800797492,-0.04580000000000001,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
86,17803.0,1,8,2,8,62.0,11.0,13,3.1166666666666667,1,0,35051,0.6053,0.3289,410.0,0.507917035177313,0.2763999999999999,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
87,37479.0,0,11,1,11,65.0,11.0,13,2.9166666666666665,1,0,41649,0.6579,0.4744,400.0,0.8998775480803861,0.18350000000000005,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,33148.0,0,13,0,11,65.0,12.0,13,3.8166666666666655,0,1,37755,0.5454,0.5256,420.0,0.8779764269633161,0.01980000000000004,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
89,30488.0,0,6,0,4,75.0,4.0,1,2.65,1,0,45971,0.6053,0.5065,410.0,0.6632007134932892,0.0988,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
90,27869.0,1,14,2,12,54.0,23.0,13,3.8666666666666663,0,1,43651,0.4304,0.3718,401.0,0.6384504364161188,0.058599999999999985,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
91,27257.0,0,8,2,6,72.0,4.0,8,3.0,0,1,43651,0.4304,0.3377,401.0,0.6244301390575244,0.0927,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
92,28235.0,1,13,3,6,59.0,22.0,11,3.216666666666667,0,1,47170,0.4416,0.4868,400.0,0.5985796056815773,-0.04520000000000002,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
93,36239.0,0,3,0,7,69.0,12.0,5,2.5166666666666666,1,0,41922,0.5263,0.4474,408.0,0.8644387195267401,0.07889999999999997,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
